pH,N,P,K,crop
6.8,151.9,11.1,332.9,Maize
6,212.7,3.6,373,Maize
6.9,204.9,3.7,335.1,Maize
7,201.8,9.5,309.1,Maize
7,184,3.7,333.4,Maize
6.6,154.5,9.1,306.5,Maize
6.9,212.2,8.8,371.9,Maize
7,129.1,9.1,328.2,Maize
6.1,163.1,7.3,301.9,Maize
6.1,200.4,4.9,336.7,Maize
6.5,153.9,5.3,282.2,Maize
6.1,130.1,9.2,281.9,Maize
5.9,163.3,4.8,359.1,Maize
5.5,158.2,9.9,363.8,Maize
6.4,178.5,4.3,363.9,Maize
5.6,214.2,7.5,296.9,Maize
5.7,168.6,7.9,349.5,Maize
5.9,164.2,6.5,286.3,Maize
6.7,155.6,5.1,325.6,Maize
6.4,191.8,3.8,365.5,Maize
6.8,138,9.5,376.7,Maize
6.2,146.1,8.1,314.9,Maize
6.6,150.2,11.1,349.2,Maize
6.9,209.9,5.1,380.9,Maize
6.5,142,10.9,373.3,Maize
5.8,197.1,8.8,298.9,Maize
6.8,183.7,10.2,327,Maize
6.5,161,4.8,371.2,Maize
6.8,201.5,8.9,340.8,Maize
6.9,173.3,6.7,356.2,Maize
6.6,164.9,5.7,309,Maize
6.8,196.2,4.3,280.2,Maize
5.7,195.7,7.3,357.4,Maize
6.1,129.9,11.2,381,Maize
5.5,125.7,8.5,365.8,Maize
6.8,171.3,4.9,280.3,Maize
6.2,136.2,6.9,375.4,Maize
7,170.8,3.7,293.9,Maize
6,206.4,4.9,354.3,Maize
6.9,178.2,4.4,300.5,Maize
6.4,170.7,9.4,362.6,Maize
5.5,196.2,9.3,338.8,Maize
5.9,174.2,4.2,385.5,Maize
6.7,134.8,5,356.4,Maize
6.3,175.3,3.7,275.9,Maize
6.2,130.9,9.7,311.8,Maize
6.5,169.9,5,294.9,Maize
6.1,184.7,11.2,307.6,Maize
5.6,177.6,8.7,325.3,Maize
5.7,186.5,9.5,290.9,Maize
6.2,171.4,10.7,328,Maize
6.4,143,8,279.3,Maize
6.3,201.5,5.7,285.1,Maize
5.7,211,6.2,287.8,Maize
6.7,179.2,11.5,361.7,Maize
6.2,186.9,4,283.4,Maize
5.6,125.5,5.4,301.2,Maize
5.7,184.3,9.9,385.6,Maize
6.6,168.8,5.5,353.1,Maize
6.7,195,7.4,304.3,Maize
6.7,212.6,9,387.3,Maize
6.4,177.3,9.5,363.3,Maize
6.4,159,7.9,373.1,Maize
6,198.7,6.5,338,Maize
6.2,150.1,9.2,371.8,Maize
6,204.9,10.9,373.5,Maize
5.6,191.3,10.7,293.2,Maize
5.8,184.3,7.2,321.7,Maize
6.5,209.3,5.9,302.1,Maize
6.6,160.8,9.3,293.9,Maize
5.8,169.4,11.3,381.8,Maize
6,129.2,6.3,379.1,Maize
6.2,161,8.4,281.1,Maize
5.6,209.3,7.2,341.5,Maize
6.3,169.7,6.4,388.6,Maize
6.5,203.6,5,318.4,Maize
6.3,179.5,8.2,280.5,Maize
7,219.6,11.6,280.3,Maize
6.8,208.1,9.8,287.6,Maize
6.1,217.5,3.8,340.7,Maize
6.9,218.1,5.1,277.3,Maize
6.1,128.9,3.9,343.5,Maize
6.9,193.8,8.3,369.7,Maize
6.3,137.6,5.4,349.9,Maize
6.4,194.5,8.9,287.1,Maize
6.3,162.9,6.4,289.7,Maize
6.1,198.7,10.8,348.4,Maize
6.2,215,10.9,342.6,Maize
6.6,165.9,8.6,350.4,Maize
5.9,162.1,9.4,323.9,Maize
6.3,140,6.3,369.3,Maize
6.8,155.6,3.8,286.1,Maize
6.1,155.2,7.4,300.8,Maize
5.7,139.9,6.3,296.8,Maize
6,186.3,4.7,307.9,Maize
7,156.9,3.3,380.7,Maize
6.5,174.4,10.1,285.6,Maize
5.7,211.6,8.8,284.7,Maize
6.5,176.8,7.4,361.4,Maize
6.4,168.2,10.9,376.2,Maize
6.7,205.6,9.3,305.6,Maize
7,146.6,6.6,277.5,Maize
6.6,215.6,9.9,355,Maize
6.2,179.4,8,319.8,Maize
5.7,158.5,7.4,315.6,Maize
6.1,161.5,8.3,299.7,Maize
6.7,129.3,11.5,326.1,Maize
6.9,199.4,7.8,345.5,Maize
5.9,154.9,7.1,376.3,Maize
6.9,180.2,11.6,376.2,Maize
5.9,182.5,8.4,357.2,Maize
5.5,134.9,6.9,286.5,Maize
6.3,189.2,11.6,359.2,Maize
6.6,145.8,5.4,331.8,Maize
6.8,192.4,6.5,285.1,Maize
6.1,166.5,9,300.4,Maize
6.3,171.1,3.5,292.2,Maize
6.8,170,5.7,359.2,Maize
6.9,215.5,7,382,Maize
6.1,198.8,7,295.6,Maize
5.9,161.1,10.4,290.8,Maize
5.5,205.7,8.8,337.6,Maize
6.1,163.9,6,322.4,Maize
6.1,216.4,9.8,289.2,Maize
6.6,191.3,5.6,317,Maize
6.6,219.1,5.8,326.3,Maize
5.5,145.6,10.4,363.7,Maize
6,196.1,5.1,343,Maize
6.5,152.3,9,300.1,Maize
6.4,190.4,4,315.5,Maize
6.5,126.7,7.7,293.4,Maize
6,181.2,9.3,389,Maize
5.8,129.8,5.4,358.9,Maize
6,177.2,10.8,314.1,Maize
6.1,126.3,7.8,293.3,Maize
6.2,212.6,11.5,359.8,Maize
6.5,128.3,7.8,342.6,Maize
6.6,193.1,5,353.7,Maize
6.8,198.5,4.3,362.9,Maize
5.6,204.8,9,296.7,Maize
6.7,158.8,11.4,390.1,Maize
6.8,191,7.4,323.1,Maize
6.1,209.8,9.9,362,Maize
5.7,141.4,11.5,309.7,Maize
5.7,127.7,9.5,351,Maize
5.8,151.7,5,379.3,Maize
6.9,136.9,3.5,348.2,Maize
5.7,138.3,5.9,309.8,Maize
6.8,136.2,11.6,324.3,Maize
5.5,186.9,11.4,358.9,Maize
6.1,171.7,4.1,371.1,Maize
6.7,140.6,6.2,334,Maize
6.9,157.8,3.4,373.5,Maize
6,140.2,5.7,337.3,Maize
5.7,188.7,8,312.1,Maize
6.9,151.5,11.2,389.4,Maize
5.9,144.2,10.6,322.4,Maize
6.2,191.6,10.7,367.1,Maize
5.8,179.6,7.9,280.1,Maize
6.2,212,5.6,368.3,Maize
6.9,199.8,10.5,383.5,Maize
5.8,172.1,8.4,279.5,Maize
6.2,190.8,7.3,305.6,Maize
5.8,193.2,6.4,330.1,Maize
6.9,150.9,7,379.7,Maize
6.8,159.3,5.4,322.7,Maize
6.3,177.8,6.9,308.1,Maize
6.1,151.7,10.4,390.1,Maize
5.6,142.6,9.8,356.6,Maize
5.7,172,11.4,350.7,Maize
6,195.6,7.3,372.6,Maize
6.4,189.8,8.1,373,Maize
6.8,161.2,3.7,343.9,Maize
6.6,189.7,7.1,304.3,Maize
5.8,182.6,8.1,384.8,Maize
6.9,137.5,10.8,281.3,Maize
5.9,206.2,10.8,354.1,Maize
6.9,155.2,8.2,286,Maize
6.4,152.1,3.8,288.3,Maize
6.8,218.6,9.9,322.4,Maize
5.9,175.8,7.7,284.9,Maize
6.7,204.4,11.3,374.4,Maize
6.1,134.9,10.2,291.7,Maize
5.6,140,6.3,370.4,Maize
6.8,202.9,10.2,285,Maize
6.2,133.8,4.5,380.2,Maize
6.9,209,5.7,372.3,Maize
5.9,127.2,4.9,307,Maize
6.8,194.7,9.1,294.5,Maize
6,200.5,5,337.6,Maize
6.1,194.4,4.3,355.4,Maize
6.6,147.4,4.2,387,Maize
6.4,170.7,9.3,319.2,Maize
5.9,157.6,7.9,354.7,Maize
5.8,198.5,6.7,371.6,Maize
6,211.5,6.9,320.1,Maize
6,135.8,8.4,390.1,Maize
6.6,150,6.3,343.3,Maize
6.2,153.3,7.4,285.2,Maize
6.9,185.2,10.6,328.8,Maize
6.1,185,8.4,292.2,Maize
6.7,165.8,4.7,309.9,Maize
5.9,182.3,9.4,351.5,Maize
6.2,136.1,11.2,323.5,Maize
5.9,147.5,7,304.8,Maize
6.7,208,6.8,366.1,Maize
5.5,152,8.7,292.4,Maize
5.8,199.3,5.9,368.4,Maize
6.1,177.5,8.2,336.5,Maize
6.1,154.1,5.1,314.3,Maize
6.6,137.4,4.5,279.2,Maize
5.6,128.2,4.4,357.2,Maize
6.7,207.3,9.9,332.3,Maize
6.4,176.7,10.8,335.2,Maize
6.3,194.5,4.2,286.9,Maize
6.6,129,7.3,321.1,Maize
6.4,144.7,5.7,365.3,Maize
6.8,139.7,9.9,375.4,Maize
5.7,151.8,3.5,370.1,Maize
6,161,5.1,358.9,Maize
6.4,193,5.3,376.3,Maize
6.8,182.7,10.5,303.1,Maize
6.3,211.5,7.7,374.1,Maize
5.5,160.2,10.3,300,Maize
5.8,199,3.6,302.5,Maize
7,201.3,5.5,302.8,Maize
5.5,160.9,6.1,369.1,Maize
6.2,187.4,3.4,301.8,Maize
6.2,208.3,9.9,283.4,Maize
6.7,211.5,5,363.5,Maize
6.1,159.1,11.2,334.2,Maize
5.7,140.1,9.5,318,Maize
6.1,220.5,5.4,368.5,Maize
6.9,170.9,4.6,347.1,Maize
6.7,166.3,10.8,278.4,Maize
6.2,203.9,10.3,298.9,Maize
6.7,192.9,6.3,337.7,Maize
6.8,220.5,7,316.4,Maize
5.8,167,4.2,313.9,Maize
5.7,200.6,3.7,295.1,Maize
6.7,131.3,10.9,377.4,Maize
5.9,139.3,3.7,364.8,Maize
6.7,201.5,5.3,288.1,Maize
6.9,160.4,4.9,301.4,Maize
5.8,213.1,6.9,343.2,Maize
6.7,135.2,3.7,312.8,Maize
5.9,170.2,5.8,282.2,Maize
6.5,140.4,5.7,311.9,Maize
6.1,202.2,10.2,355.9,Maize
6.3,170.7,4.4,341.3,Maize
6.8,188.8,5.3,382.8,Maize
5.5,157.3,3.5,302.2,Maize
6.2,183.9,4.8,321.8,Maize
5.7,193.8,4.4,376,Maize
6.1,147.6,9,358.7,Maize
6.8,198.5,5.3,336.2,Maize
5.8,211.2,3.4,342.6,Maize
5.9,164.1,10.6,304,Maize
6.9,149.6,10.8,377.6,Maize
6.9,138.2,8,385.3,Maize
5.8,149.5,11.4,382.7,Maize
7,142.4,11.3,314.2,Maize
6.9,137.3,10.9,298.4,Maize
6.6,200.8,9.3,308.9,Maize
6.1,131,8.1,344.1,Maize
6.1,156.2,5.4,377.6,Maize
5.8,189.2,5.5,351.7,Maize
5.7,168.4,7.7,297.3,Maize
5.8,209.6,4.9,340.5,Maize
6.8,204.9,5.9,287.6,Maize
6.3,174.4,5.3,389.4,Maize
5.6,172.6,9.6,321.3,Maize
5.6,215.1,8.8,374.7,Maize
6.3,139.9,11.2,300.6,Maize
5.9,140,4.9,294.6,Maize
5.9,198.1,5.4,353.6,Maize
6.2,216.8,9.4,339.5,Maize
5.9,153.8,10.3,305.2,Maize
6.9,126.7,8,305.1,Maize
5.8,212.4,8.8,289.7,Maize
6.6,167.2,5.2,321.2,Maize
6.7,149.6,11.5,289.3,Maize
6.7,160.8,3.6,327.9,Maize
6.5,178.5,6.8,290.1,Maize
6.7,127.6,6.5,347.1,Maize
5.6,189.6,9.7,334.5,Maize
5.7,200.8,10.5,353.9,Maize
6.5,156.1,11.2,345.8,Maize
6.7,200,4.3,283.3,Maize
6,127.9,4.8,281.8,Maize
5.9,126.9,8.5,321.8,Maize
6.1,158.4,7.9,332.1,Maize
6.2,203,5.5,322.9,Maize
6.3,186,11.5,339.8,Maize
6.7,127,4.8,295.4,Maize
5.6,186.3,8.2,318.7,Maize
5.5,184.5,3.5,278.9,Maize
6.5,199,9.6,330.7,Maize
5.7,126,3.6,278.2,Maize
6.8,176.5,9.4,276.6,Maize
6.3,218.1,6.3,349.9,Maize
5.5,196,7.2,314.4,Maize
6.6,180.2,5.6,315.3,Maize
5.6,209.9,8.1,342.1,Maize
5.8,192.5,4.5,345.2,Maize
6.6,127.9,9.9,372.1,Maize
6.5,197.2,6.7,369.3,Maize
5.8,125.7,6.2,353.6,Maize
6.1,175.3,10.2,306.2,Maize
6.9,144,5.4,365.3,Maize
5.9,204.3,7.9,348.5,Maize
6.1,153.3,3.4,362.6,Maize
6.5,197.8,5.1,306.2,Maize
5.6,198.2,9.5,294.3,Maize
6.4,128.7,3.9,380.3,Maize
6.9,146.7,6.4,331.1,Maize
7,179.6,9.3,333.4,Maize
6.9,220.6,7.2,332.6,Maize
6,176.6,9.4,388.7,Maize
6.2,185.8,6.1,293,Maize
5.9,205.4,9,286,Maize
6.7,155.3,4.1,317,Maize
6.6,141.1,7.5,364.9,Maize
5.6,195.3,9.4,312.2,Maize
5.6,161.8,11.3,326.3,Maize
6.8,178.1,6.6,331.5,Maize
6.8,156.8,10.9,379.8,Maize
5.9,147.5,9.6,306.8,Maize
6.8,219.9,8.8,360.2,Maize
6.7,154.1,5.1,335.7,Maize
6.5,139.5,11.3,388.8,Maize
6.8,186.2,10.2,293.3,Maize
5.8,197.1,10.6,282.4,Maize
6.2,217.5,11.3,277.3,Maize
6.1,129.4,7.2,317.4,Maize
6.7,214.2,10.2,358.5,Maize
5.9,134.8,9.7,328.7,Maize
6.6,183.8,9,330.9,Maize
6,171.6,10.3,370.8,Maize
6.4,197.1,9.8,277.1,Maize
6.5,181.5,5.3,367.4,Maize
6.8,205.2,6.1,371.5,Maize
6,170.4,8.2,297.5,Maize
6.7,183.9,11.1,352.9,Maize
6.9,176,10.4,345,Maize
5.8,177.3,3.5,374.3,Maize
6.6,150.6,9.5,320,Maize
5.6,197,10.5,323.7,Maize
6.8,219.1,7.3,308,Maize
5.8,199.2,10.7,378.2,Maize
5.9,135.1,10.5,363.7,Maize
6.7,219.6,5,339.8,Maize
6.6,171.2,10.2,323.6,Maize
6.4,216.6,10.9,341.3,Maize
5.7,139,10.4,319.2,Maize
6,143,4.2,354.9,Maize
5.7,168,11.6,380.7,Maize
6.5,189.1,8.6,313.5,Maize
6.1,172.9,5.7,360.3,Maize
6.9,134.5,11.5,352.9,Maize
6.8,159.2,11,338.3,Maize
5.9,132.6,4.2,302.1,Maize
6.7,212.7,8,348.5,Maize
6.2,218.4,6.2,365.4,Maize
6.9,194.1,6.4,387.1,Maize
6.3,174.1,10.8,353,Maize
5.7,147.1,7.5,345.8,Maize
6.8,149.7,4.5,344,Maize
6.4,185.4,3.7,383.5,Maize
6.8,214.1,6.7,386.8,Maize
5.9,206.5,10.1,319.4,Maize
6.7,173.9,11.1,326.4,Maize
6,201,3.3,309.3,Maize
5.8,146.7,11.7,306.4,Maize
5.9,208.3,9.2,373.9,Maize
5.7,147.1,5.9,342.2,Maize
6.6,134.4,5.6,288.2,Maize
5.7,185.4,11.7,381,Maize
5.7,169.3,7.5,293.7,Maize
6.2,171.2,6.1,296.5,Maize
5.8,206.4,10.8,282.2,Maize
6.5,142.4,6.8,375.2,Maize
6.2,137.2,5.7,298.7,Maize
6.7,195.3,10.3,337.2,Maize
5.5,167.8,7.1,347.9,Maize
5.9,174.8,10.3,280.1,Maize
6.1,196.5,9.4,351.7,Maize
6.4,160.5,8.3,295.4,Maize
6.6,154,4.8,390.7,Maize
5.8,218.3,6.2,356.3,Maize
6.8,207.7,11.1,283.9,Maize
6,207.5,5.1,375.8,Maize
5.7,130.2,8.7,345.9,Maize
6.5,152.5,6.3,339.1,Maize
6.1,160.4,5.3,303,Maize
5.6,216.9,9.8,301.9,Maize
5.7,142,6.8,284.1,Maize
6.5,140.4,3.6,388.3,Maize
5.7,188.8,4.4,280.8,Maize
6.3,214.8,7,369.6,Maize
5.5,143.8,6.2,307.1,Maize
6.6,154.7,5,322.1,Maize
6,136.7,6.5,311.7,Maize
5.9,187,6.6,336.5,Maize
6.7,195.8,9.5,317.9,Maize
5.7,128.1,11.4,362.4,Maize
6.5,210.1,7.1,367.6,Maize
6,213.1,6,349,Maize
6,180.7,8.9,351.3,Maize
6.8,177,11.4,304.6,Maize
5.9,206.9,4.7,336.3,Maize
6,159.8,11.6,283.2,Maize
6.4,139,6.6,365.8,Maize
5.8,167,3.4,383.2,Maize
6.5,184.6,7.2,337.5,Maize
7,182.8,8.7,371.8,Maize
5.8,164.6,6.3,301.7,Maize
7,185.6,3.4,385.7,Maize
5.6,184.9,3.5,333.5,Maize
5.6,161.6,10.6,278,Maize
5.5,154.7,7.7,358.7,Maize
6.2,173.8,7.1,322.2,Maize
6.7,204.8,9.8,279,Maize
6.6,210.9,10.1,330,Maize
6.2,165.4,6.4,305.2,Maize
5.6,218.3,6.4,371,Maize
5.9,207.3,5,373.8,Maize
6.2,139.7,6,331.3,Maize
6.8,147.4,4.9,315.5,Maize
5.9,148.8,5.1,287,Maize
5.9,195.5,5.1,302.8,Maize
5.6,172.8,8.9,297.7,Maize
5.9,216.2,3.7,334.2,Maize
5.9,157,7.7,310,Maize
6.8,148.7,8.1,279.8,Maize
5.8,142.8,10.4,332.1,Maize
6.9,220.2,4.1,290.8,Maize
5.9,134,5.9,290.3,Maize
6.5,193.7,5.2,382.4,Maize
6.6,183.7,4.1,276.7,Maize
6.2,179.7,10.3,311.6,Maize
6.5,165.1,5.7,325.9,Maize
6.8,148.7,11.5,327.6,Maize
6.9,217.5,7.3,360.3,Maize
6.4,134.5,3.4,327,Maize
5.9,153.9,4.3,306.8,Maize
5.6,172.1,11.4,299.7,Maize
5.8,150.9,8.9,307.5,Maize
6.9,167.4,7.9,296.7,Maize
6.7,170.5,5.7,285.5,Maize
5.7,127.6,9,336.2,Maize
6.1,130.9,9.2,285.9,Maize
6.5,186.1,4.9,299,Maize
5.6,202.9,8.8,300.9,Maize
6.1,127.2,9.7,347.4,Maize
6,181,10.9,324.8,Maize
6.6,150.3,9.3,305.3,Maize
6.2,126.7,8.3,295.8,Maize
5.7,133.6,4.8,295.4,Maize
6,175.9,4.2,299.7,Maize
6.8,187.4,10.6,280.5,Maize
5.8,169.4,11,331.4,Maize
5.6,171.2,11,289.2,Maize
5.8,154.2,8.3,324.8,Maize
5.8,139.4,5.1,362.3,Maize
6.6,183.6,11.6,329,Maize
6.3,128.2,9.2,373.7,Maize
6.6,195.3,7.6,335.6,Maize
5.9,219.4,7,323.7,Maize
6.8,214.8,7.3,299,Maize
6.3,216.2,6.1,332.6,Maize
6.1,145.4,10.3,302.5,Maize
5.5,125.5,3.6,357.3,Maize
5.7,137.4,5.1,299,Maize
6.5,139.6,7.9,294.5,Maize
6.6,162.2,3.9,295.9,Maize
6.3,131.4,6.1,308.4,Maize
6.8,203.8,9.6,295.8,Maize
6.3,189.4,11.4,291.5,Maize
5.7,182.7,11.5,347.2,Maize
5.5,135,11.5,374.1,Maize
6.9,150.7,8.9,378.1,Maize
6.9,158.1,3.6,340.9,Maize
6.5,149.6,5.7,366.7,Maize
5.9,168.5,6,340.4,Maize
6.7,201.4,7.7,312.1,Maize
6.9,127.7,8.8,389.7,Maize
6.2,173.8,6.9,278.1,Maize
6.4,211.7,8.3,346.5,Maize
6.9,212.6,8.7,342.9,Maize
6,194.5,8.6,313.5,Maize
6,209.6,5.5,299.3,Maize
6.2,188.4,9.7,297.5,Maize
5.8,147.9,4.3,329.8,Maize
5.5,200,3.5,288.1,Maize
7,146.3,4.5,340.1,Maize
6.9,192.6,8.9,339,Maize
6.7,161.2,9.3,285.5,Maize
6.6,186.9,4.3,288.4,Maize
6.9,144.6,3.8,295.2,Maize
5.6,181.8,11.1,319.9,Maize
5.6,134.3,10.1,350.7,Maize
6.4,170.9,7.1,368.8,Maize
6.2,183.1,9,315.2,Maize
6.1,152.2,5.9,292.9,Maize
6.4,137.6,8.2,389.1,Maize
5.5,182.3,9.8,339.1,Maize
6,189.9,5.4,338.1,Maize
6.1,150.1,9.3,290.1,Maize
6.8,212.2,7.1,382.2,Maize
5.8,173.1,3.4,275.3,Maize
6.4,155.5,6.6,359.6,Maize
6.5,217.7,10.5,322.3,Maize
5.5,133,7.8,307.3,Maize
6.5,179.5,10.2,382.9,Maize
5.6,137.5,6.6,297,Maize
6.8,216.2,9.3,354.6,Maize
5.7,215.5,11.4,353.5,Maize
6.1,142,6.7,385,Maize
5.6,217.3,4.5,381.3,Maize
5.7,205,11.2,347.6,Maize
6.8,178,5.6,331.1,Maize
6.9,167.4,4.3,381.7,Maize
6,207.6,10.4,357,Maize
6.8,153.9,3.5,302.2,Maize
6.1,135.8,9.5,277.3,Maize
6.2,217.4,9.5,324.8,Maize
6.5,166.4,10.7,361.6,Maize
6.8,178.3,9.8,283.7,Maize
6.6,166.6,8.6,323.7,Maize
7,183.1,4.6,368.5,Maize
6.8,162.4,6,314.5,Maize
5.9,182.1,9.9,318.8,Maize
6.5,211.7,5.4,333.7,Maize
5.7,179.6,6.5,359.6,Maize
6.2,186.3,9,344.9,Maize
6.2,165.7,5,348.3,Maize
6.4,202,4.8,381.9,Maize
6,161.8,10.2,378.4,Maize
6.8,186.9,6.8,298.5,Maize
6.1,165.7,6,357,Maize
6,202.4,11.1,314.7,Maize
6.4,186.1,7.3,385.9,Maize
5.8,197.1,6.7,316.7,Maize
6.5,164.5,3.8,372.9,Maize
6.5,196.3,10,385.8,Maize
6.7,149.2,5.1,351.3,Maize
6.3,196.8,3.6,293.4,Maize
6.1,165.3,6.9,365.4,Maize
6.2,178.5,3.9,301.1,Maize
6.2,205.4,7.9,321.8,Maize
6.3,134,3.9,276,Maize
6.9,187.6,9.3,367.9,Maize
6.9,160.2,5.5,321,Maize
5.5,213.8,6.3,381.2,Maize
6.2,166,5.3,336.8,Maize
6.8,158.5,5.3,337.4,Maize
5.9,148.2,4.1,323.7,Maize
5.9,183.3,4.3,371.4,Maize
5.9,173.9,5.4,304.3,Maize
6.6,198.9,6.4,311.7,Maize
6.8,208,3.4,312.7,Maize
5.5,189.1,8.6,297.7,Maize
6.3,220.5,4.8,328.6,Maize
6.5,203.3,11.3,346.1,Maize
5.7,145.5,11.5,386,Maize
6.8,184.7,11.7,328.6,Maize
5.7,162.3,8.2,381.7,Maize
6.3,139.8,7,333.6,Maize
5.7,168.9,6.1,357.3,Maize
5.9,197.4,3.8,339.8,Maize
6.7,171.5,9.2,354.5,Maize
6.6,201.1,8.6,376.1,Maize
5.7,210.7,4.6,354.3,Maize
6.4,212.7,6,289,Maize
6.4,216.7,5.7,335.1,Maize
6.7,133.3,7.1,276.1,Maize
6.6,181.1,9.5,308.5,Maize
5.8,142.9,6,388,Maize
6.5,165.1,7.4,379.6,Maize
6.8,207,5.7,367.5,Maize
5.7,215.6,11.1,360.5,Maize
6.6,192.8,3.3,287.2,Maize
6.5,179.5,3.8,352.8,Maize
6.7,166.4,5.1,355.8,Maize
5.7,129.7,3.8,288.1,Maize
6.2,146.1,11.3,305.7,Maize
6.6,128.6,5.4,308.7,Maize
6.6,125.6,11.2,290.3,Maize
6.8,170.9,11.5,282,Maize
6.8,192.1,10.4,343.6,Maize
6.4,145.3,6.4,390.4,Maize
5.8,149.2,5.2,389.8,Maize
6.6,177.9,6.9,348.9,Maize
6.4,164.8,5.1,350.3,Maize
6.9,134.8,4.9,321,Maize
6.1,198,11.4,324.8,Maize
6.4,184.3,4.4,336,Maize
6.7,215.1,7.6,322.8,Maize
6.4,171.7,4.9,319.4,Maize
6.2,156.3,5.8,381.3,Maize
6.7,177.1,7.1,294.7,Maize
5.6,150.2,8.7,355.7,Maize
6.6,205.6,4,323.7,Maize
5.6,161.9,4.6,345.8,Maize
6.5,165.7,11.2,369.5,Maize
6.1,136.3,10.5,276.9,Maize
6.3,186.6,6,311.6,Maize
6.9,128.6,4.3,309,Maize
6.7,197.1,10.4,364.8,Maize
6.2,199.2,11.4,303.6,Maize
6.2,162.6,5.7,383,Maize
5.8,148.3,8,288.7,Maize
6.1,166.8,9.1,323.2,Maize
6.8,151.8,9.5,356.4,Maize
5.9,220.1,9,378.2,Maize
6.5,219.5,5,389.6,Maize
6.9,203.7,9.3,332.1,Maize
6.8,165.3,6.6,338.9,Maize
6.2,201,4.8,369.8,Maize
6.2,134,4,304.5,Maize
5.6,204.9,5.3,362.8,Maize
5.8,174.1,9.6,345.1,Maize
5.7,138.7,3.5,311.8,Maize
6.6,204.1,6,313.8,Maize
5.8,198.3,8.3,303.1,Maize
6.7,200.4,4.6,276.8,Maize
6.6,215.1,11.7,311.8,Maize
6.2,158.9,6.7,346.4,Maize
6.6,220.4,10.3,293,Maize
6.3,205.4,10.4,344.8,Maize
6.7,208.4,5,276.7,Maize
6.3,130.7,9.6,343.3,Maize
6.5,193.5,4.2,378.8,Maize
5.7,144.9,4.2,333.4,Maize
6.3,219.4,10.7,292.5,Maize
5.6,134.9,5.8,374.3,Maize
6.1,218.6,5,337.1,Maize
7,169.1,9.5,368.6,Maize
6.3,202.7,8.7,335.1,Maize
5.9,160.9,4,378.1,Maize
5.5,204.3,6.1,385.8,Maize
7,166.2,6.6,331.4,Maize
